coords,res
1232,27
1233,27
1234,27
1235,27
1236,27
1238,27
1237,27
1241,27
1242,27
1243,27
1244,27
1245,27
1248,27
1250,27
1255,27
1253,27
1256,27
1265,27
1266,27
1267,27
1269,27
1268,27
1270,27
1274,27
1275,27
1277,27
1280,27
1284,27
1283,27
1285,27
1286,28
1288,28
1289,28
1290,28
1291,28
1296,28
1302,28
1304,28
1306,28
1310,28
1314,28
1315,28
1318,28
1320,28
1319,28
1323,28
1322,28
1326,28
1327,28
1329,28
1330,28
1332,28
1334,28
1333,28
1335,28
1336,28
1338,28
1339,28
1342,28
1343,28
1345,28
1347,28
1348,28
1350,28
1353,28
1354,28
1356,28
1357,28
1361,28
1362,28
1363,28
1365,28
1372,28
1378,28
1379,28
1384,28
1385,28
1387,28
1390,28
1392,28
1394,28
1395,28
1396,28
1400,28
1403,28
1404,28
1405,29
1406,29
1407,29
1408,29
1409,29
1411,29
1413,29
1415,29
1417,29
1416,29
1420,29
1421,29
1422,29
1423,29
1424,29
1426,29
1429,29
1431,29
1432,29
1434,29
1435,29
1436,29
1437,29
1440,29
1444,29
1445,29
1449,29
1451,29
1455,29
1456,29
1457,29
1460,29
1461,29
1462,29
1465,29
1466,29
1467,29
1468,29
1469,29
1471,29
1472,30
1473,30
1474,30
1476,30
1477,30
1478,30
1479,30
1480,30
1481,30
1483,30
1485,30
1486,30
1488,30
1489,30
1492,30
1494,30
1496,30
1499,30
1500,30
1501,30
1502,30
1503,30
1504,30
1505,30
1507,30
1508,30
1510,30
1513,30
1514,30
1515,30
1516,30
1518,30
1519,30
1520,30
1521,30
1523,30
1524,30
1527,30
1530,30
1534,30
1537,30
1538,30
1539,30
1540,30
1543,30
1545,30
1548,30
1550,30
1553,30
1556,30
1560,31
1562,31
1561,31
1563,31
1564,31
1567,31
1571,31
1574,31
1577,31
1578,31
1584,31
1585,31
1586,31
1589,31
1590,31
1592,31
1594,31
1595,31
1596,31
1600,31
1602,31
1604,31
1608,31
1610,31
1612,31
1613,31
1615,31
1618,31
1619,31
1620,31
1622,31
1624,31
1625,31
1626,31
1627,31
1630,31
1631,31
1632,31
1633,31
1634,31
1635,31
1636,31
1639,31
1640,31
1641,31
1642,31
1644,31
1645,31
1646,31
1647,31
1649,31
1651,31
1652,31
1653,31
1654,31
1656,31
1657,32
1658,32
1659,32
1660,32
1661,32
1662,32
1663,32
1666,32
1668,32
1670,32
1672,32
1673,32
1675,32
1676,32
1680,32
1679,32
1682,32
1683,32
1684,32
1685,32
1690,32
1691,32
1692,32
1698,32
